Date,Ozone,Solar.R,Wind,Temp,Month,Day
8/14/76,65,157,9.7,80,8,14
8/15/76,NA,64,11.5,79,8,15
8/16/76,22,71,10.3,77,8,16
8/17/76,59,51,6.3,79,8,17
8/18/76,23,115,7.4,76,8,18
8/19/76,31,244,10.9,78,8,19
8/20/76,44,190,10.3,78,8,20
8/21/76,21,259,15.5,77,8,21
8/22/76,9,36,14.3,72,8,22
8/23/76,NA,255,12.6,75,8,23
8/24/76,45,212,9.7,79,8,24
8/25/76,168,238,3.4,81,8,25
8/26/76,73,215,8,86,8,26
8/27/76,NA,153,5.7,88,8,27
8/28/76,76,203,9.7,97,8,28
8/29/76,118,225,2.3,94,8,29
8/30/76,84,237,6.3,96,8,30
8/31/76,85,188,6.3,94,8,31
9/1/76,96,167,6.9,91,9,1
9/2/76,78,197,5.1,92,9,2
9/3/76,73,183,2.8,93,9,3
9/4/76,91,189,4.6,93,9,4
9/5/76,47,95,7.4,87,9,5
9/6/76,32,92,15.5,84,9,6
9/7/76,20,252,10.9,80,9,7
9/8/76,23,220,10.3,78,9,8
9/9/76,21,230,10.9,75,9,9
9/10/76,24,259,9.7,73,9,10
9/11/76,44,236,14.9,81,9,11
9/12/76,21,259,15.5,76,9,12
9/13/76,28,238,6.3,77,9,13
9/14/76,9,24,10.9,71,9,14
9/15/76,13,112,11.5,71,9,15
9/16/76,46,237,6.9,78,9,16
9/17/76,18,224,13.8,67,9,17
9/18/76,13,27,10.3,76,9,18
9/19/76,24,238,10.3,68,9,19
9/20/76,16,201,8,82,9,20
9/21/76,13,238,12.6,64,9,21
9/22/76,23,14,9.2,71,9,22
9/23/76,36,139,10.3,81,9,23
9/24/76,7,49,10.3,69,9,24
9/25/76,14,20,16.6,63,9,25
9/26/76,30,193,6.9,70,9,26
9/27/76,NA,145,13.2,77,9,27
9/28/76,14,191,14.3,75,9,28
9/29/76,18,131,8,76,9,29
9/30/76,20,223,11.5,68,9,30
